# SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
373171    118      0.0000000001   1.00000000    1.00000000   0.42664683
373171    123      0.0000013609   1.00000000    1.00000000   0.10639535
373171    125      0.0000039580   1.00000000    1.00000000   0.16063389
373171    126      0.0000000003   1.00000000    1.00000000   0.51011275
373171    127      0.0000013998   1.00000000    1.00000000   0.16928182
373171    133      0.0000000046   1.00000000    1.00000000   0.15620664
373171    134      0.0000000003   1.00000000    1.00000000   0.26052759
373171    135      0.0000018990   1.00000000    1.00000000   0.16849261
373171    137      0.0000006762   1.00000000    1.00000000   0.17091710
373171    138      0.0000000001   1.00000000    1.00000000   0.44181641
373171    146      0.0000000010   1.00000000    1.00000000   0.94926716
373171    148      0.0000000004   1.00000000    1.00000000   0.61643812
373171    157      0.0000035862   1.00000000    1.00000000   0.12359206
373171    158      0.0000000001   1.00000000    1.00000000   0.24148550
373171    168      0.0000000017   1.00000000    1.00000000   0.43359025
373172    111      0.0000000037   1.00000000    1.00000000   0.15945040
373172    112      0.0000005296   1.00000000    1.00000000   0.13037763
373172    113      0.0000000052   1.00000000    1.00000000   0.16256417
373172    115      0.0000006810   1.00000000    1.00000000   0.23155553
373172    117      0.0000002591   1.00000000    1.00000000   0.20658631
373172    118      0.0000000001   1.00000000    1.00000000   0.46330451
373172    123      0.0000004971   1.00000000    1.00000000   0.13872247
373172    125      0.0000012685   1.00000000    1.00000000   0.24217293
373172    126      0.0000000002   1.00000000    1.00000000   0.58755680
373172    127      0.0000004899   1.00000000    1.00000000   0.21289004
373172    133      0.0000000019   1.00000000    1.00000000   0.16748024
373172    134      0.0000000002   1.00000000    1.00000000   0.27464148
373172    135      0.0000006254   1.00000000    1.00000000   0.25129108
373172    137      0.0000002426   1.00000000    1.00000000   0.21772403
373172    138      0.0000000000   1.00000000    1.00000000   0.48323784
373172    146      0.0000000010   1.00000000    1.00000000   0.94996834
373172    148      0.0000000005   1.00000000    1.00000000   0.62038948
373172    157      0.0000012951   1.00000000    1.00000000   0.13481067
373172    158      0.0000000001   1.00000000    1.00000000   0.26446172
373172    168      0.0000000017   1.00000000    1.00000000   0.43013883
